config,metric,ham10000,ph2,derm7pt,imagenet
CNN ResNet-50,auc,0.891 ± 0.011 (n=3),0.903 ± 0.096 (n=3),0.828 ± 0.029 (n=3),0.980 ± 0.004 (n=3)
CNN ResNet-50,f1,0.865 ± 0.019 (n=3),0.901 ± 0.085 (n=3),0.791 ± 0.014 (n=3),0.923 ± 0.006 (n=3)
G-CBM ResNet-50 (τ*),auc,0.923 ± 0.004 (n=3),0.960 ± 0.006 (n=3),0.868 ± 0.008 (n=3),0.983 ± 0.002 (n=3)
G-CBM ResNet-50 (τ*),f1,0.909 ± 0.015 (n=3),0.925 ± 0.004 (n=3),0.823 ± 0.019 (n=3),0.935 ± 0.003 (n=3)
MLP-CBM ResNet-50 (τ*),auc,0.856 ± 0.002 (n=3),0.897 ± 0.006 (n=3),0.810 ± 0.008 (n=3),0.977 ± 0.000 (n=3)
MLP-CBM ResNet-50 (τ*),f1,0.799 ± 0.006 (n=3),0.854 ± 0.000 (n=3),0.762 ± 0.005 (n=3),0.925 ± 0.000 (n=3)
Linear-CBM ResNet-50 (τ*),auc,0.850 ± 0.000 (n=3),0.887 ± 0.059 (n=3),0.810 ± 0.001 (n=3),0.971 ± 0.002 (n=3)
Linear-CBM ResNet-50 (τ*),f1,0.768 ± 0.001 (n=3),0.866 ± 0.020 (n=3),0.724 ± 0.009 (n=3),0.910 ± 0.004 (n=3)
